ticker,signal_date,entry_date,exit_date,position,pred_prob,raw_return,net_return
JPM,2017-10-04,2017-10-05,2017-10-06,1,0.556112150670886,0.01614553095741189,0.014145530957411891
JPM,2017-10-19,2017-10-20,2017-10-23,1,0.5527210060396711,0.0023163729375990094,0.0003163729375990094
JPM,2017-10-23,2017-10-24,2017-10-25,-1,0.43728196756416043,0.01371674821731994,-0.015716748217319942
JPM,2017-10-26,2017-10-27,2017-10-30,-1,0.42756322528794244,-0.002958142214891435,0.0009581422148914349
JPM,2017-11-01,2017-11-02,2017-11-03,-1,0.4388177769850349,0.0022796892221048637,-0.004279689222104864
JPM,2017-11-08,2017-11-09,2017-11-10,-1,0.3893417004412361,0.0071044229900096845,-0.009104422990009685
JPM,2017-11-14,2017-11-15,2017-11-16,1,0.551487364562211,0.022201317774832807,0.020201317774832805
JPM,2017-11-20,2017-11-21,2017-11-22,1,0.5562604162368463,-0.004723527529496674,-0.006723527529496674
JPM,2017-11-28,2017-11-29,2017-11-30,-1,0.4185228269041634,0.022751582663514736,-0.024751582663514737
JPM,2017-12-13,2017-12-14,2017-12-15,1,0.550193795066841,-0.003110016335127419,-0.005110016335127419
JPM,2018-01-29,2018-01-30,2018-01-31,1,0.559659955594675,0.0010384817900312981,-0.0009615182099687019
JPM,2018-02-12,2018-02-13,2018-02-14,1,0.6109309751206337,0.011768003334874377,0.009768003334874377
JPM,2018-02-14,2018-02-15,2018-02-16,1,0.5706935381314033,-0.010281374698281054,-0.012281374698281054
JPM,2018-02-15,2018-02-16,2018-02-20,1,0.5762238162170212,0.0008730269045789107,-0.0011269730954210893
JPM,2018-03-06,2018-03-07,2018-03-08,1,0.5629870901622415,0.011956197760549792,0.009956197760549792
JPM,2018-03-07,2018-03-08,2018-03-09,1,0.5577458774146598,0.0125095416258858,0.0105095416258858
JPM,2018-03-08,2018-03-09,2018-03-12,1,0.5837289385652971,0.012440929261518185,0.010440929261518185
JPM,2018-03-09,2018-03-12,2018-03-13,1,0.5538766535827319,0.0016949632043048446,-0.00030503679569515545
JPM,2018-03-12,2018-03-13,2018-03-14,1,0.5778315208733792,-0.013874784293966824,-0.015874784293966826
JPM,2018-03-14,2018-03-15,2018-03-16,1,0.5685207585066777,-0.004574195135960468,-0.006574195135960468
JPM,2018-03-16,2018-03-19,2018-03-20,1,0.5900142151912311,-0.001998218579835953,-0.003998218579835953
JPM,2018-03-21,2018-03-22,2018-03-23,1,0.5780808611062002,-0.025883295476979762,-0.027883295476979764
JPM,2018-03-23,2018-03-26,2018-03-27,1,0.5913671966732268,0.017217599760426916,0.015217599760426916
JPM,2018-03-26,2018-03-27,2018-03-28,1,0.5976148250895512,-0.02511908891912451,-0.027119088919124512
JPM,2018-03-27,2018-03-28,2018-03-29,1,0.6571156961486126,0.0020319737446152786,3.1973744615278535e-05
JPM,2018-03-28,2018-03-29,2018-04-02,1,0.7028181322557687,0.013455949825297298,0.011455949825297298
JPM,2018-03-29,2018-04-02,2018-04-03,1,0.7464880407815115,-0.014550691293761076,-0.016550691293761077
JPM,2018-04-02,2018-04-03,2018-04-04,1,0.6902923900901063,-0.011628117059748422,-0.013628117059748422
JPM,2018-04-03,2018-04-04,2018-04-05,1,0.693906235074221,0.04758243751733193,0.04558243751733193
JPM,2018-04-04,2018-04-05,2018-04-06,1,0.7276066295518717,-0.009674539760136103,-0.011674539760136103
JPM,2018-04-05,2018-04-06,2018-04-09,1,0.638750993590226,-0.004884683535924195,-0.006884683535924195
JPM,2018-04-06,2018-04-09,2018-04-10,1,0.6273692191137706,0.01927088445671954,0.017270884456719537
JPM,2018-04-09,2018-04-10,2018-04-11,1,0.71062338586204,-0.004191581153561885,-0.006191581153561885
JPM,2018-04-10,2018-04-11,2018-04-12,1,0.6651328774217653,-0.0008955461756310346,-0.0028955461756310346
JPM,2018-04-11,2018-04-12,2018-04-13,1,0.6338819708892445,0.031014847630497444,0.029014847630497442
JPM,2018-04-12,2018-04-13,2018-04-16,1,0.6635313227281624,-0.03547197932024815,-0.03747197932024815
JPM,2018-04-13,2018-04-16,2018-04-17,1,0.5726172049548592,0.00387597165776965,0.00187597165776965
JPM,2018-04-16,2018-04-17,2018-04-18,1,0.579024373570727,-0.007542613435899459,-0.009542613435899459
JPM,2018-04-17,2018-04-18,2018-04-19,1,0.701584375103154,-0.009047314984933497,-0.011047314984933497
JPM,2018-04-18,2018-04-19,2018-04-20,1,0.6415181782344849,0.025289977605714276,0.023289977605714274
JPM,2018-04-19,2018-04-20,2018-04-23,1,0.6591033793338146,-0.006500630765559845,-0.008500630765559845
JPM,2018-04-20,2018-04-23,2018-04-24,1,0.6342843293976616,0.0016132880667023564,-0.0003867119332976437
JPM,2018-04-23,2018-04-24,2018-04-25,1,0.6099316838008182,-0.013243719176922908,-0.015243719176922908
JPM,2018-04-24,2018-04-25,2018-04-26,1,0.655646554927936,-0.0027206993737403096,-0.00472069937374031
JPM,2018-04-25,2018-04-26,2018-04-27,1,0.6075539720960063,-0.0038191971849138584,-0.0058191971849138584
JPM,2018-04-26,2018-04-27,2018-04-30,1,0.5845908046493656,0.0018257558066836488,-0.00017424419331635126
JPM,2018-04-27,2018-04-30,2018-05-01,1,0.607294703212038,-0.01184513031214407,-0.01384513031214407
JPM,2018-04-30,2018-05-01,2018-05-02,1,0.5619991777506076,-0.0031351478182195525,-0.0051351478182195525
